Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1172,492,485,521,532,601,80,979,0.768%,18.88434,17.28,4.33
TOTAL,1172,492,485,521,532,601,80,979,0.768%,18.88434,17.28,4.33
